"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","RWA.LOANACC_COMBANK_SMES.NUM.A","OBS_VALUE","Rwanda","Loan accounts, Commercial banks, Small and medium enterprises (SMEs)","Number","Annual","Units","14291.2776149684","23075","44082","49832","9678","7527","",""
"IMF.STA:FAS(4.0.0)","RWA.FA21_COMBANK_SMES.NUM.A","OBS_VALUE","Rwanda","Borrowers, Commercial banks, Small and medium enterprises (SMEs)","Number","Annual","Units","14291.2776149684","23075","44082","49832","9174","6668","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_COMBANK_S14_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Commercial banks, Households, Liabilities","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_DTMFI_S14_L_F.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Deposit taking microfinance institutions, Households, Liabilities, Female","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_DTMFI_S14_A_F.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Deposit taking microfinance institutions, Households, Assets, Female","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_DTMFI_S14_A_M.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Deposit taking microfinance institutions, Households, Assets, Male","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_CUCC_S14_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Credit unions and credit cooperatives, Households, Liabilities","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_COMBANK_S14_L_M.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Commercial banks, Households, Liabilities, Male","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_NDTMFI_S14_A_F.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Non-deposit taking microfinance institutions, Households, Assets, Female","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_NDTMFI_S14_A_M.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Non-deposit taking microfinance institutions, Households, Assets, Male","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_NDTMFI_S14_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Non-deposit taking microfinance institutions, Households, Assets","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_DTMFI_S14_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Deposit taking microfinance institutions, Households, Liabilities","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_CUCC_SMES_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Credit unions and credit cooperatives, Small and medium enterprises (SMEs), Assets","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_DTMFI_S14_L_M.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Deposit taking microfinance institutions, Households, Liabilities, Male","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_COMBANK_S14_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Commercial banks, Households, Assets","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_COMBANK_S14_L_F.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Commercial banks, Households, Liabilities, Female","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_ODT_S14_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Other deposit takers, Households, Liabilities","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_CUCC_S14_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Credit unions and credit cooperatives, Households, Assets","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_COMBANK_S14_A_F.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Commercial banks, Households, Assets, Female","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_DTMFI_S14_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Deposit taking microfinance institutions, Households, Assets","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_ODT_S14_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Other deposit takers, Households, Assets","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_CUCC_SMES_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Credit unions and credit cooperatives, Small and medium enterprises (SMEs), Liabilities","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTL_COMBANK_S14_A_M.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Commercial banks, Households, Assets, Male","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.OUTD_COMBANK_SMES_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Commercial banks, Small and medium enterprises (SMEs), Liabilities","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.FA64.POGDP.A","OBS_VALUE","Rwanda","Outstanding balances on active mobile money accounts","Percent of GDP","Annual","Units","0.2267481154146088","0.2405144122665381","0.3065338539110443","0.6997084963842868","0.6608299358558896","0.8650145772594752","0.7193973294839408","1.051154141447555"
"IMF.STA:FAS(4.0.0)","RWA.OUTLIFE_S128_L.XDC.A","OBS_VALUE","Rwanda","Life insurance and annuities entitlements, Insurance corporations, Liabilities","Domestic currency","Annual","Millions","31013.442145","37107","39325","43250","49780","57068","62711","72913"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_COMBANK_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Commercial banks, Assets","Domestic currency","Annual","Millions","1292680.79331281","1470531.62489421","1669845.64628729","2061075.86448271","2167441","2529161","2914359","5747075"
